,addr_area,addr_city,addr_county,addr_province,address,address_hashid,avatar,bonus,company_hashid,company_id,company_url_hash,created,creator,creator_name,deadline_end,deadline_start,deleted,deletor,edu_level,exp_level,finished_date,full_name,fund,hashid,id,industry,job_category,latitude,logo,longitude,pay_range_from,pay_range_to,remain_bonus,scale,seq,short_name,skills,source,source_id,status,street,street_number,summary,summary_short,title,updated,updator,url_hash,website,work_type
0,,杭州,滨江区,浙江,滨江区英飞特大厦,fe40448c0f9dcc79fda2d43fc884ff0b,public://avatar/2018/03-02/100458625551304869.png,0,459913b21c76d56b63553c1c55f93565,63,72e63d0faa,1519973449,34191,Jean,,,0,0,本科,应届生,,杭州旦悦科技有限公司,B轮,658e3842209ca7485d32b63f38f22349,8996,教育培训,设计#视觉设计#游戏动作,30.185,https://api.neituixiaowangzi.com/files/company/2017/08-08/231627019231015885.jpg,120.20181,5,9,0,500-2000人,,abc360,,,,开放,英飞特大厦,,"岗位职责：
1、根据要求，独立使用Spine软件完成骨骼动画制作；
2、依据脚本内容，独立设计制作青少年英语教学动画；
3、根据要求，独立进行视频剪辑、动效制作等；
任职资格：
1、动画、影视后期、艺术设计类相关专业优先；
2、熟练操作Spine、AE、PS、Ai等软件，会使用Flash软件优先考虑；
3、1-3年动画工作经验；
4、有青少年动画制作经验、熟悉青少年喜欢绘画风格者优先；
5、工作细心、乐观好学、具有团队精神；",,动画师,1519973449,0,18cd34fc92,www.abc360.com,
1,,杭州,滨江区,浙江,滨江区英飞特大厦,fe40448c0f9dcc79fda2d43fc884ff0b,public://avatar/2018/03-02/100458625551304869.png,0,459913b21c76d56b63553c1c55f93565,63,72e63d0faa,1519973289,34191,Jean,,,0,0,本科,1-3年,,杭州旦悦科技有限公司,B轮,451f0a433373cd551842332746b55528,8994,教育培训,设计#视觉设计#原画师,30.185,https://api.neituixiaowangzi.com/files/company/2017/08-08/231627019231015885.jpg,120.20181,12,15,0,500-2000人,,abc360,,,,开放,英飞特大厦,,"岗位职责：
1.根据项目内容和题材设定进行原画风格设计；
2.根据项目内容和题材设定进行原画的绘制（场景为主，少儿Q版风格，少量角色）；
3.负责外包美术质量的审核。

任职资格：
1.热爱游戏动漫事业；
2.熟悉少儿类项目，擅长Q版原画设计；
3.强烈的团队合作意识、协作精神和敬业精神，吃苦耐劳，能承受一定的工作压力；
4.熟悉各种游戏美术风格，具有扎实的美术功底和造型设计能力；
5.熟悉掌握Flash、AE、PS等绘画软件，擅长矢量原画者优先；
6.三年以上游戏原画工作经验者优先；
7.应聘者请提供简历及近期作品。",,资深原画师,1519973289,0,258a59b3ee,www.abc360.com,
2,,杭州,滨江区,浙江,滨江区英飞特大厦,fe40448c0f9dcc79fda2d43fc884ff0b,public://avatar/2018/03-02/100458625551304869.png,0,459913b21c76d56b63553c1c55f93565,63,72e63d0faa,1519973180,34191,Jean,,,0,0,本科,1-3年,,杭州旦悦科技有限公司,B轮,d757c9e6d689dc82dccdbc8128f588ee,8993,教育培训,设计#用户研究#用户研究员,30.185,https://api.neituixiaowangzi.com/files/company/2017/08-08/231627019231015885.jpg,120.20181,8,12,0,500-2000人,,abc360,,,,开放,英飞特大厦,,"岗位职责：
1. 负责产品的用户研究、市场研究工作，提供产品整个生命周期中的策略支持、用户验证。
2. 配合产品经理，针对产品使用问题，开展用户调研以及可用性测试。
3. 独立完成用研项目的全套流程，包括需求分析、研究目的和内容提炼、用研方法设计，数据分析，报告撰写。
4. 负责管理产品的体验，跟踪产品的体验效果，持续改善产品的用户体验，不断改进产品功能。
5. 从用户角度，全面梳理产品流程，并结合相关数据分析，积极推动流程优化。
6. 研究内容包括但不限于：细分市场研究、用户群体的行为和态度分析、目标用户验证、产品DEMO版本用户体验验证、可用性测试、满意度研究等。

任职资格：
1. 2年以上用户研究工作经验（甲方的用户研究工作经验或市场调查公司经验）。
2. 能够独立负责用户研究、市场研究项目，有过大型的调研项目经验。
3. 熟悉各种用研方法，有极强的定性访谈及定量数据分析能力。 
4. 熟练使用Office办公工具；熟练使用Excel、SPSS或SAS等统计软件。
5. 客观、严谨，逻辑思维能力强；性格开朗、善于沟通、有亲和力，表达能力优秀。
6. 良好的沟通及表达能力（中英文），有游戏、教育行业相关工作经验者优先。",,用户调研员,1519973180,0,7de1dc7fce,www.abc360.com,
3,,深圳,福田区,广东,福田区华富路1018号中航中心,6d3fa1e6b4ded73110d9df3df0dadb8b,public://avatar/2018/02-28/125127608687391081.png,0,4eb0a02dd4c7a43d7ba76914c5285e1e,37326,2bdcb6fdc7,1519965846,29372,Michael,,,0,0,本科,1-3年,,深圳宜聚互联网金融服务有限公司,不需要融资,dd67379539b69b84a4003c430dbc89b1,8986,移动互联网,设计#视觉设计#游戏特效,22.54356,https://api.neituixiaowangzi.com/files/company/2017/10-30/012304192842952104.jpg,114.08195,8,10,0,2000人以上,,深圳宜聚网,,,,开放,华富路1018号,中航中心,"岗位职责：
1.把握节目的风格，积极有效的完成后期制作工作，保证成片质量；
2.负责视频After Effects 特效合成、Premiere 后期编辑、以及其他视频编辑软件的工作；
3.擅于运用各种剪辑手法、音乐、音效来渲染画面效果；
4.沟通协调视频制作过程中的各环节；

任职资格：
1、有两年以上视频制作经验，熟练掌握Premiere、AE、PS等剪辑合成软件。独立完成节目的后期剪辑及包装工作；
2、对镜头语言有独到的理解和认识，能够根据脚本独立剪辑画面；
3、对工作认真负责、思维活跃有创意，具有良好的沟通和团队合作精神；
4、懂脚本撰写加分、懂拍摄加分、沟通能力强脑洞大加分。",,视频制作后期特效,1519965846,0,55b2de2e45,https://www.1ju.com/,
4,,杭州,滨江区,浙江,"滨江区阡陌路555,号海康威视",e262a7986b1cf8f63b3237a7258db383,public://avatar/2018/03-01/211624285937518328.png,0,8cb42bebfe194ff4fa574940e7118e9b,1154,97f8ac5fff,1519910546,33738,邵侃,,,0,0,本科,1-3年,,杭州海康威视数字技术股份有限公司,上市公司,e3ce94a648f04dd429402a6f9a57958d,8939,不限,设计#视觉设计#视觉设计师,30.209146,https://api.neituixiaowangzi.com/files/company/2017/10-28/080750118417460810.jpg,120.220866,11,22,0,2000人以上,,海康威视,,,,开放,"阡陌路555,号",海康威视,"真情告白：找一位脑洞够大，性子够直，明妖暗媚，自成一派，为人够真，做事够钻的设计师一同组队打怪攒经验！

↓↓咳～咳～下面请看正经描述↓↓

岗位要求： 
1. 3-5年交互设计工作经验，深刻理解用户体验设计理论和方法，熟悉交互设计流程，可以独立、完整的完成一个新产品的交互设计；
2. 有丰富的PC端和移动端设备操作系统交互设计经验,并有相关互联网或ERP产品平台设计经验 ；
3. 能够熟练使用Windows、OS系统平台上的Axure、Sketch、Xmind、Visio、Illustartor、After Effects等基础设计工具软件，掌握原型动效演示工具的使用；
4. 对用户体验和易用性有敏锐的把握能力，善于发现交互和界面设计问题，洞察用户痛点，了解用研理论和方法，具备扎实的场景归纳、用户角色分析、任务分解能力，有组织可用性测试等用研工作者优先；
5. 对各种互联网产品或常用软件有强烈兴趣并有灵敏触觉，富有创造力和激情；
6. 强逻辑思维能力，熟练掌握业务需求分析、产品需求分解的技巧 
7. 有一定视觉设计或排版能力，熟悉前端web基础知识并掌握相应web前端技术；
8. 擅长输出精细化设计文档和高保真原型；
9. 本科以上学历，硕博优先；
 
工作职责: 
1. 负责产品PC端和移动端设备操作系统交互设计，对现有产品的可用性测试和评估提出改进方案，持续优化产品的用户体验； 
2. 有一定的产品概念，同时有互联网或ERP产品经验，能够在前期进行用户调研及产品规划，梳理出设计需求；  
3. 根据设计需求和用户研究的结果完成产品概念、功能信息架构、操作流程以及最终高保真原型设计；
4. 结合业务和设计需求，协同和推动视觉、前端及技术团队进行设计可行性和易用性评审，跨团队推动设计还原，并在进程中快速迭代和改善体验问题； 
5. 持续跟踪和关注上线产品，并通过竞品分析，结合可用性测试及数据分析结果，完成交互行为和功能的优化，持续提升产品的使用体验
6. 负责参与设计体验、流程和规范的制定，负责分享设计经验、推动提高团队的设计能力；",,视觉设计师,1519949597,33738,8f1815521f,http://www.hikvision.com,
5,,杭州,拱墅区,浙江,拱墅区祥茂路99号科锐6号楼3楼,ee383d7a2d16d38221c0a8f1126f3e28,public://avatar/2018/02-28/233239527190193088.png,0,f5f0a368ed7b6a14915f9d67090a517a,12050,06e9b962ff,1519917034,30369,王佳斌,1520179200,1519833600,0,0,专科,1-3年,,浙江执御信息技术有限公司,B轮,0b9fb6bdf2c06c49d9a49bec6868bd06,8969,移动互联网,设计#视觉设计#UI设计师,30.333035,https://api.neituixiaowangzi.com/files/company/2017/10-28/080733823438418227.png,120.113035,10,18,0,2000人以上,147,浙江执御,,,,开放,祥茂路99号科锐6号楼3楼,," 岗位职责

1.负责平台及产品（pc、移动、活动等）的视觉设计。把控整体视觉风格，使之能有效传达产品意图，完成价值创造闭环；

2.关注设计对项目的价值和效果反馈，准确把握产品各环节及整体的可用性和易用性，提出改进建议，并不断进行自发的优化迭代；

3.研究把握设计趋势与行业趋势，推动团队进行专业沉淀，制定并完善各项规范，通过个人专业性影响带动团队成长。

4.支持团队内部设计任务，学习新的设计技巧、软件，进行极具创新性的设计尝试

         岗位要求

1. 视觉表现能力过硬。了解各系统规范，作品完整，细节处理到位，能够熟练把握多种风格为佳，有简单的造型能力为佳；

2. 有产品设计、交互设计思维，了解产品和交互设计基本原则和实践方法；

3. 有主导中型以上产品设计的完整项目经验，熟知项目合作流程，善于沟通，懂得原则与妥协；

4. 有专业追求，无“乙方”心态，能主动推动问题解决；

5.沟通表达能力强，能准确传达设计思路与意图，甚至思想，影响进而提升项目团队认知判断能力；

6.强反思总结能力，善于学习，责任心强，具有团队合作精神及良好的沟通能力，工作细致，能承受一定的工作压力

7.  3年以上互联网产品设计经验。特别优秀者可适当放宽限制。

         你的加分项：

                   a.有一定团队管理经验

                   b.美术专业科班出身，熟知各种设计理念

",,UI设计师 ,1519917034,0,35a763db70,http://www.jollycorp.com,
6,,北京,海淀区,北京市,海淀区中关村东升科技园北领地,2aaad2297b0510e09218e0a88f4174ba,public://avatar/2018/03-01/203918619525693160.png,0,7c9da1c1f1c5b7a3b4610df77ee29858,18614,bb9cfc4bd1,1519908787,2272,关杉,,,0,0,本科,3-5年,,北京转转精神科技有限责任公司,A轮,be769b99c1eb7dab5d2d591ab3c7ecb5,8935,移动互联网,设计#视觉设计#UI设计师,40.041947,https://api.neituixiaowangzi.com/files/company/2017/10-28/080851399596533298.png,116.357652,20,35,0,500-2000人,,转转,,,,开放,中关村东升科技园北领地,,"岗位职责：
1、负责转转app及相关业务的产品界面与视觉设计
2、产出符合市场需求，且具备优秀视觉冲击力\感染力的设计
3、参与产品、交互、视觉、用研设计讨论，确认设计目标，推进落实，提升用户体验    
4.、经营产品线的设计语言，跟随市场的变化而调整新的定义；制定设计规范，构建整体产品视觉识别体系； 
5、参与分享设计经验，提高团队的设计能力；
任职要求：
1. 有丰富的移动端产品视觉设计经验（6年以上），能够创造有视觉冲击力的作品，主导过成型成熟的UI设计作品，有设计亮点及推导过程和验证方法； 
2  良好的沟通、组织、抗压能力，能够控制变化，能应对多任务并行保证项目推进；
3. 能制定设计目标，有辅导及拆解设计任务的能力，能对设计结果负责；
4. 能力核心：视觉活非常好，眼界很开阔
5. 请务必提供相关作品。
",,高级UI设计师,1519908787,0,ab2ce04780,http://www.zhuanzhuan.com/,
7,,北京,海淀区,北京市,海淀区中关村东升科技园北领地,2aaad2297b0510e09218e0a88f4174ba,public://avatar/2018/03-01/203918619525693160.png,0,7c9da1c1f1c5b7a3b4610df77ee29858,18614,bb9cfc4bd1,1519908758,2272,关杉,,,0,0,本科,3-5年,,北京转转精神科技有限责任公司,A轮,fcbe84a0213a43844977a537fcc96854,8934,移动互联网,设计#交互设计#交互设计师,40.041947,https://api.neituixiaowangzi.com/files/company/2017/10-28/080851399596533298.png,116.357652,20,30,0,500-2000人,,转转,,,,开放,中关村东升科技园北领地,,"岗位职责：
1.负责独立完成大型项目交互设计，输出优质交互设计方案
2.从体验角度，改进优化产品结构和流程，促进产品和视觉体验的双重提升
3.持续管理跟踪产品体验，发掘需求和问题，提出改进和优化方案，并推动上线与验证
4.参与用研，根据用研结论提出产品落地和优化方向
任职要求：
1.三年以上移动交互设计经验，有丰富完善的理论体系储备、互联网行业知名项目经验。
2.对交互设计和业务有深入理解，不浮于基础的原型图输出。
3.思维清晰严谨、沟通能力好、情商高、抗压能力强。
4.本科或以上学历，大厂资历优先。
",,高级交互设计师,1519908758,0,75922528ee,http://www.zhuanzhuan.com/,
8,,北京,朝阳区,北京,朝阳区三间房南里4号院A08,25d49605e40f4c6bcaa6b79bfc7a3a35,public://avatar/2018/03-01/164049531598415498.png,0,66e528dec20ce2402f861c323b3b7465,362434,bcab6dc519,1519898276,33183,张腾,,,0,0,专科,1年以内,,杭州有鹿文化传媒有限公司,天使轮,c1d9152ada0ca1b61f5feecec3b6d406,8905,互联网,设计#视觉设计#美工,39.91295,https://api.neituixiaowangzi.com/files/company/2018/03-01/164638831145900823.jpg,116.5692,4,8,0,50-150人,,有鹿文化,,,,开放,三间房南里4号院,A08,"岗位职责： 
1、按照公司指示制作各作品宣传图片，活动图片，漫画新作上线等各类图宣，作品logo设计等； 
2、负责淘宝店铺宝贝图片更新，重大节日活动促销图片等； 
3、负责各大合作平台方推广banner、宣传图等制作; 
4、协助运营部制作裁切漫画，页漫切条漫的排版，上线预告图等； 
5、协助满足公司其他部门所提出的美工方面的需求。 

任职要求： 
1、美术相关专业，有美术编辑从事经验，了解淘宝店铺装修，宝贝优化经验； 
2、熟练运用PS，AI等常用设计软件，具有良好的审美能力； 
3、喜欢看漫画，对漫画尤其是国漫有一定的了解和兴趣； 
4、思维敏捷，想象力丰富、悟性好，积极主动、工作认真，沟通协作能力强，富有团队精神。",,漫画美工,1519899790,33183,7aabbeb543,http://www.yoolook.cn/,
9,,北京,朝阳区,北京,朝阳区三间房南里4号院A08,25d49605e40f4c6bcaa6b79bfc7a3a35,public://avatar/2018/03-01/164049531598415498.png,0,66e528dec20ce2402f861c323b3b7465,1132,bcab6dc519,1519894866,33183,张腾,,,0,0,不限,不限,,杭州有鹿文化传媒有限公司,天使轮,a298d974e6ee235aa3051d96b231a17d,8884,互联网,设计#视觉设计#插画师,39.91295,https://api.neituixiaowangzi.com/files/company/2018/03-01/164638831145900823.jpg,116.5692,5,7,0,50-150人,,有鹿文化,,,,开放,三间房南里4号院,A08,"岗位职责：
根据分镜头脚本协助完成漫画创作。 

任职要求： 
1、优秀的上色能力，擅长厚涂，赛璐璐； 
2、熟练运用CLIPStudiopaint/Comicstudio/SAI/Photoshop； 
3、有足够的漫画阅读量，掌握着精深的漫画技法； 
4、具备较强的领悟力，经过沟通交流能很快把握作品核心设定精髓； 
5、具有大量的人物和景物的上色经验； 
6、有良好的团队精神，且熟悉漫画创作流程，能够与人协作创作。",,漫画助理,1519899710,33183,c2ee29dec1,http://www.yoolook.cn/,
10,,北京,朝阳区,北京,朝阳区三间房南里4号院a08,25d49605e40f4c6bcaa6b79bfc7a3a35,public://avatar/2018/03-01/164049531598415498.png,0,66e528dec20ce2402f861c323b3b7465,1132,bcab6dc519,1519896319,33183,张腾,,,0,0,不限,不限,,杭州有鹿文化传媒有限公司,天使轮,c01226ec4b12e2ac1f784888d5ba07b8,8896,互联网,设计#视觉设计#插画师,39.91295,https://api.neituixiaowangzi.com/files/company/2018/03-01/164638831145900823.jpg,116.5692,7,14,0,50-150人,,有鹿文化,,,,开放,三间房南里4号院,a08,"岗位职责：
根据剧本需求，创造性地设计漫画分镜，用恰当的镜头语言表现故事情节。 

岗位要求: 
1、优秀的漫画造型能力； 
2、熟练运用CLIPStudiopaint/Comicstudio/SAI/Photoshop； 
3、有足够的漫画阅读量，掌握着精深的漫画技法； 
4、具备较强的领悟力，经过沟通交流能 
5、很快把握作品核心设定精髓； 
6、具有大量的人物和景物的绘画经验； 
7、有良好的团队精神，且熟悉漫画创作流程，能够与人协作创作。",,漫画主笔,1519899479,33183,b80a2d9a3c,http://www.yoolook.cn/,
11,,北京,朝阳区,北京,朝阳区三间房南里4号院a08,25d49605e40f4c6bcaa6b79bfc7a3a35,public://avatar/2018/03-01/164049531598415498.png,0,66e528dec20ce2402f861c323b3b7465,362434,bcab6dc519,1519898969,33183,张腾,,,0,0,不限,不限,,杭州有鹿文化传媒有限公司,天使轮,16f4119a25d05649964533a1dcb2013b,8910,互联网,设计#视觉设计#插画师,39.91295,https://api.neituixiaowangzi.com/files/company/2018/03-01/164638831145900823.jpg,116.5692,4,6,0,50-150人,,有鹿文化,,,,开放,三间房南里4号院,a08,"岗位职责：
根据分镜头脚本协助完成漫画创作。 

任职要求： 
1、优秀的上色能力，擅长厚涂，赛璐璐； 
2、熟练运用CLIPStudiopaint/Comicstudio/SAI/Photoshop； 
3、有足够的漫画阅读量，掌握着精深的漫画技法； 
4、具备较强的领悟力，经过沟通交流能很快把握作品核心设定精髓； 
5、具有大量的人物和景物的上色经验； 
6、有良好的团队精神，且熟悉漫画创作流程，能够与人协作创作。",,漫画助理,1519898969,0,da8cafa21c,http://www.yoolook.cn/,
12,,杭州,西湖区,浙江,西湖区剑桥公社F座906,35933fc827d85058f3f8093d284ba505,public://avatar/2018/03-01/164049531598415498.png,0,66e528dec20ce2402f861c323b3b7465,362434,bcab6dc519,1519898707,33183,张腾,,,0,0,不限,不限,,杭州有鹿文化传媒有限公司,天使轮,03af668f81eabc97551e0616c652b8fb,8908,互联网,设计#视觉设计#插画师,30.30617,https://api.neituixiaowangzi.com/files/company/2018/03-01/164638831145900823.jpg,120.09599,6,10,0,50-150人,,有鹿文化,,,,开放,剑桥公社F座,906,"岗位职责：
根据剧本需求，创造性地设计漫画分镜，用恰当的镜头语言表现故事情节。 

岗位要求: 
1、优秀的漫画造型能力； 
2、熟练运用CLIPStudiopaint/Comicstudio/SAI/Photoshop； 
3、有足够的漫画阅读量，掌握着精深的漫画技法； 
4、具备较强的领悟力，经过沟通交流能 
5、很快把握作品核心设定精髓； 
6、具有大量的人物和景物的绘画经验； 
7、有良好的团队精神，且熟悉漫画创作流程，能够与人协作创作。",,漫画主笔,1519898896,33183,2aeb359540,http://www.yoolook.cn/,
13,,杭州,西湖区,浙江,西湖区剑桥公社F座906,35933fc827d85058f3f8093d284ba505,public://avatar/2018/03-01/164049531598415498.png,0,66e528dec20ce2402f861c323b3b7465,362434,bcab6dc519,1519898846,33183,张腾,,,0,0,不限,不限,,杭州有鹿文化传媒有限公司,天使轮,f7b18d9f717649d266040048b529fe2a,8909,互联网,设计#视觉设计#插画师,30.30617,https://api.neituixiaowangzi.com/files/company/2018/03-01/164638831145900823.jpg,120.09599,4,6,0,50-150人,,有鹿文化,,,,开放,剑桥公社F座,906,"岗位职责：
根据分镜头脚本协助完成漫画创作。 

任职要求： 
1、优秀的上色能力，擅长厚涂，赛璐璐； 
2、熟练运用CLIPStudiopaint/Comicstudio/SAI/Photoshop； 
3、有足够的漫画阅读量，掌握着精深的漫画技法； 
4、具备较强的领悟力，经过沟通交流能很快把握作品核心设定精髓； 
5、具有大量的人物和景物的上色经验； 
6、有良好的团队精神，且熟悉漫画创作流程，能够与人协作创作。",,漫画助理,1519898846,0,360634310c,http://www.yoolook.cn/,
14,,南京,江宁区,江苏,江宁区国家千人计划创新创业基地江宁创业大厦6022,c2648b001b31a83724249bfe4a9b5a10,public://avatar/2018/03-01/164049531598415498.png,0,66e528dec20ce2402f861c323b3b7465,362434,bcab6dc519,1519898568,33183,张腾,,,0,0,不限,不限,,杭州有鹿文化传媒有限公司,天使轮,8b5a06675c8cb82fdef67afc171c75ba,8907,互联网,设计#视觉设计#插画师,31.93312,https://api.neituixiaowangzi.com/files/company/2018/03-01/164638831145900823.jpg,118.79231,6,10,0,50-150人,,有鹿文化,,,,开放,国家千人计划创新创业基地江宁创业大厦,6022,"岗位职责：
根据剧本需求，创造性地设计漫画分镜，用恰当的镜头语言表现故事情节。 

岗位要求: 
1、优秀的漫画造型能力； 
2、熟练运用CLIPStudiopaint/Comicstudio/SAI/Photoshop； 
3、有足够的漫画阅读量，掌握着精深的漫画技法； 
4、具备较强的领悟力，经过沟通交流能 
5、很快把握作品核心设定精髓； 
6、具有大量的人物和景物的绘画经验； 
7、有良好的团队精神，且熟悉漫画创作流程，能够与人协作创作。",,漫画主笔,1519898568,0,4b641fc068,http://www.yoolook.cn/,
15,,南京,玄武区,江苏,玄武区360教育在线(集团总部),379f59d5ef749ebf3e3573cfde4a9c29,public://avatar/2018/03-01/172613253683892973.png,0,4d257119767c9b56c7e803b93dfb9a38,296167,d9591423a8,1519898531,33299,陳金餅,,,0,0,不限,3-5年,,江苏三六零数字传媒有限公司,不需要融资,2fdd67ae892cf9275ed74acd59900adf,8906,广告营销,设计#高端设计职位#设计经理/主管,32.09046,https://api.neituixiaowangzi.com/files/company/2017/11-30/102440649170517284.jpg,118.88859,7,10,0,150-500人,,三六零数字传媒,,,,开放,360教育在线(集团总部),,招设计主管及资深设计,,设计经理/主管,1519898531,0,10272af594,http://www.360eol.com/,
16,,北京,朝阳区,北京,朝阳区七棵树创意园C8-6,2999089104222a42cdce3e43c7bab846,public://avatar/2018/03-01/135446637663646581.png,0,f140dd0e9d4ace0db917a923a7ecfe72,362431,996ad5ae0c,1519887125,32758,魏征,,,0,0,专科,1-3年,,北京伟世兄弟品牌管理有限公司,未融资,559e3a28315d4e890bce088ca0d56284,8868,文化娱乐,设计#视觉设计#平面设计师,39.96669,https://api.neituixiaowangzi.com/files/company/2018/03-01/144512349975540536.jpg,116.51946,8,16,0,少于15人,,伟世兄弟品牌,,,,开放,七棵树创意园,C8-6,"VSHINE夹娃娃是以开设娃娃机旗舰店为主要经营内容的文化娱乐品牌，从孵化IP、优化玩法等层面重塑行业模式，将为消费者提供更多幸福感、成就感作为最终目的，全力打造全新的快时尚、轻娱乐体验。

毛绒公仔设计师
职位描述：
1、负责公司自有IP形象的二次设计开发；
2、独立创作可制作为毛绒公仔的二次元形象；
3、协助前端工程师进行微信小程序的设计优化；
4、关注国内、国际毛绒公仔市场，充分了解行业热点。

岗位要求：
1、设计/艺术类专业大专及以上学历；
2、熟练使用AI、PS等设计软件；
3、喜爱毛绒公仔，拥有自己的设计风格；
4、对中国传统文化理解深刻者优先录用。",,毛绒公仔设计师,1519887125,0,be5898ff49,,
17,,广州,天河区,广东,天河区财富广场东塔2405-2406,e3145f312cf942573f6ffd1f5a404b7b,public://avatar/2018/03-01/092418217863435466.png,0,93a7323dd76f2cd74df3dad91ed17799,315647,fbc0026a26,1519876485,32116,陈瑞芳,,,0,0,专科,3-5年,,广州优植生物科技有限公司,未融资,77f55c016e4bed7085d656398910360d,8846,电子商务,设计#视觉设计#视觉设计师,23.136186,https://api.neituixiaowangzi.com/files/company/2017/11-30/154532811981288242.jpg,113.329109,7,10,0,150-500人,,朵拉朵尚,,,,开放,财富广场东塔,2405-2406,"岗位职责：
1、负责公司电商各个渠道的整体形象设计、商品展示设计、详情页优化、整体布局、活动推广等；
2、负责品牌整体形象的创意设计，把握店铺的整体风格和视觉呈现，全面提升网站的整体视觉效果；
3、负责对产品拍摄及方案策划、对品牌的创意策略和创意构思进行提案工作，配合公司整体的营销策略以达到预期的市场效果；
4、为美术、文字、动画等创意作品的创意概念发起、指导、执行的整体过程负责，出品把控；
5、做好部门之间的协调工作，根据各部门工作要求，设计及制作相应的资料。
任职要求：
1、美术、设计、视觉传达相关专业毕业；
2、精通PS、AI等设计软件，了解网站开发流程；
3、三年以上平面广告设计或淘宝天猫美术设计经验，其中有1年设计管理经验；
4、具有较强视觉效果表现能力和敏锐的潮流触觉。
在朵拉朵尚，我们会为您提供：
1. 舒适的办公环境：甲级商业办公楼，环境优美怡人；
2. 便捷的交通：地铁上盖（体育中心）、公交下车即到（体育东路，石牌桥BRT）；
3. 人性化的工作时间：考勤不打卡、每日7.5小时工作制，周末双休；
4. 奖金福利多多：五险一金、年终奖、绩效奖金、节日福利、下午茶、各项补贴、不定期团队活动、旅游等；
5. 广阔的发展空间：职业发展路径清晰、透明，内部培训多样，为你的职业生涯比你想得更远；
更多的福利内容，等着你来发现！",,视觉设计主管,1519876674,32116,e69195c3b7,,
